lp.,imię i nazwisko,narodowość,flaga,pozycja,data urodzenia,Kolumna nr 1,Wiek,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,20007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,SUMA
lp.,imię i nazwisko,narodowość,flaga,pozycja,Kolumna nr 1,data urodzenia,Wiek,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,SUMA
317,Kacper Gach,Polska,,obrońca,07-11),11.07.1998,27,,,,,,,,,,,,,,,,,,,,,,,1,8,19,13,18,,,27,15,101
15,Marek Sokołowski,Polska,,pomocnik,03-11),11.03.1978,47,4,26,28,30,32,18,,7,,,,,,,,12,25,26,29,31,29,20,,,,,,,,,,287
57,Jarosław Matusiak,Polska,,bramkarz,02-15),15.02.1965,60,,,,1,34,38,29,,,,,,,,,,,,,,,,,,,,,,,,,102
83,Jarosław Bujok,Polska,,obrońca,09-04),04.09.1974,51,,,,,34,32,31,31,31,37,,,,,,,,,,,,,,,,,,,,,,196
91,Mariusz Jendryczko,Polska,,obrońca,06-26),26.06.1973,52,,,,31,26,33,29,28,15,,,,,,,,,,,,,,,,,,,,,,,162
93,Michał Kurzeja,Polska,,obrońca,02-01),01.02.1971,54,,,,26,28,30,26,9,,,,,,,,,,,,,,,,,,,,,,,,119
95,Robert Piekarski,Polska,,obrońca,04-01),01.04.1970,55,,,,,30,38,33,33,27,14,,,,,,,,,,,,,,,,,,,,,,175
99,Grzegorz Więzik,Polska,,pomocnik,07-21),21.07.1963,62,,,,30,34,26,24,19,,,,,,,,,,,,,,,,,,,,,,,,133
101,Bartosz Woźniak,Polska,,pomocnik,09-23),23.09.1977,48,,,,,31,34,33,27,23,,,,,,,,,,,,,,,,,,,,,,,148
104,Robert Zięba,Polska,,obrońca,05-19),19.05.1981,44,,,,1,16,29,21,9,5,21,15,,,,,,,,,,,,,,,,,,,,,117
108,Sławomir Cienciała,Polska,,obrońca,03-19),19.03.1983,42,,,,,,,,,12,27,,30,21,32,17,29,9,7,,,,,,,,,,,,,,184
111,Piotr Koman,Polska,,pomocnik,06-25),25.06.1985,40,,,,,,,,,4,38,38,29,16,1,,31,9,2,,,,,,,,,,,,,,168
114,Łukasz Merda,Polska,,bramkarz,05-04),04.05.1980,45,,,,,,,,,15,29,31,23,33,28,6,,,,,,,,,,,,,,,,,165
126,Tomasz Górkiewicz,Polska,,obrońca,01-28),28.01.1985,40,,,,,,,,,,3,24,31,20,1,9,12,11,12,30,34,,,,,,,,,,,,187
131,Grzegorz Pater,Polska,,pomocnik,05-05),05.05.1974,51,,,,,,,,,,38,36,29,26,12,,,,,,,,,,,,,,,,,,141
137,Mariusz Sacha,Polska,,pomocnik,07-19),19.07.1987,38,,,,,,,,,,8,32,29,25,19,,,15,5,,,,,,,,,,,,,,133
143,Krzysztof Chrapek,Polska,,napastnik,10-07),07.10.1985,40,,,,,,,,,,,14,30,29,32,,,,,19,16,,,,,,,,,,,,140
152,Dariusz Kołodziej,Polska,,pomocnik,04-17),17.04.1982,43,,,,,,,,,,,31,32,32,,30,18,7,3,16,18,14,14,,,,,,,,,,215
172,Juraj Dančík,Słowacja,,obrońca,02-21),21.02.1982,43,,,,,,,,,,,,,24,20,27,25,22,6,,,,,,,,,,,,,,124
190,Damian Chmiel,Polska,,pomocnik,05-06),06.05.1987,38,,,,,,,,,,,,,,10,7,22,1,27,22,37,24,21,12,,,,,,,,,183
192,Bartłomiej Konieczny,Polska,,obrońca,06-09),09.06.1981,44,,,,,,,,,,,,,,24,18,29,27,14,25,31,,,,,,,,,,,,168
193,Piotr Malinowski,Polska,,pomocnik,03-24),24.03.1984,41,,,,,,,,,,,,,,7,31,35,25,27,33,28,,,,,,,,,,,,186
208,Sylwester Patejuk,Polska,,pomocnik,11-30),30.11.1982,43,,,,,,,,,,,,,,,31,30,29,,,19,,,,,,,,,,,,109
211,Richard Zajac,Słowacja,,bramkarz,08-16),16.08.1976,49,,,,,,,,,,,,,,,15,40,21,27,25,21,,,,,,,,,,,,149
215,Dariusz Łatka,Polska,,pomocnik,09-14),14.09.1978,47,,,,,,,,,,,,,,,,31,25,26,31,,,,,,,,,,,,,113
222,Róbert Demjan,Słowacja,,napastnik,10-26),26.10.1982,43,,,,,,,,,,,,,,,,35,31,30,,37,35,25,,,,,,,,,,193
235,Adam Deja,Polska,,pomocnik,06-26),26.06.1993,32,,,,,,,,,,,,,,,,,,10,18,25,26,27,,,,,,,,,,106
310,Łukasz Sierpina,Polska,,pomocnik,03-27),27.03.1988,37,,,,,,,,,,,,,,,,,,,,,,35,36,28,31,24,,,,,,154
359,Kamil Biliński,Polska,,napastnik,01-23),23.01.1988,37,,,,,,,,,,,,,,,,,,,,,,,,,12,27,33,34,,,,106