numer,imię i nazwisko,pozycja,narodowość,flaga,data urodzenia,wiek,mecze,minuty,gole,asysty,żółte kartki,czerwone kartki,kanadyjka,gole samobójcze,asysta 2. stopnia,sprokurowany karny,wywalczony karny,karny,niestrzelony karny,główka,lewa,prawa,czyste konta,obronione karne
1,Konrad Forenc,bramkarz,Polska,,17.07.1992,33,32,2880,0,,2,,0,,,,,,,,,,11,
3,Daniel Dziwniel,obrońca,Polska /Niemcy,,19.08.1992,33,21,1120,0,1,3,1,1,,,,,,,,,,,
4,Marcin Biernat,obrońca,Polska,,28.05.1992,33,30,2700,7,2,14,1,9,,,1,,4,,1,1,5,,
5,Paweł Szumiński,obrońca,Polska,,13.07.2006,19,,,0,,,,0,,,,,,,,,,,
6,Mateusz Kizyma,pomocnik,Polska,,08.07.2002,23,28,1781,1,2,5,,3,,1,,,,,,,1,,
7,Linus Rönnberg,pomocnik,Finlandia,,13.01.2003,22,35,2205,6,,5,,6,,,,1,,,1,,5,,
8,Matej Mršić,pomocnik,Chorwacja,,13.01.1994,31,30,1240,1,3,1,,4,,1,,,,,,1,,,
9,Maciej Górski,napastnik,Polska,,01.03.1990,35,14,1007,2,2,1,,4,,1,,,,,,,2,,
9,Paweł Tomczyk,napastnik,Polska,,04.05.1998,27,8,219,1,,,,1,,,,1,1,,,,1,,
11,Wojciech Szumilas,pomocnik,Polska,,07.11.1996,29,15,1069,2,2,1,,4,,,,,,,,2,,,
11,Mateusz Ziółkowski,pomocnik,Polska,,29.08.2003,22,7,245,0,,1,,0,,,1,,,,,,,,
13,Dawid Ściuk,obrońca,Polska,,30.06.2005,20,9,430,0,,2,,0,,,,,,,,,,,
14,Marcin Urynowicz,pomocnik,Polska,,16.03.1996,29,14,929,1,2,6,,3,,1,,1,,,,1,,,
16,Piotr Szumiński,obrońca,Polska,,13.07.2006,19,,,0,,,,0,,,,,,,,,,,
17,Jan Majsterek,obrońca,Polska,,09.06.2000,25,28,2241,1,,4,1,1,,2,2,,,,,,1,,
18,Paweł Czajkowski,pomocnik,Polska,,27.02.1995,30,27,1569,1,1,4,,2,,,,,,,,,1,,
19,Michał Studnicki,napastnik,Polska,,28.02.2006,19,,,0,,,,0,,,,,,,,,,,
20,Szymon Gołuch,pomocnik,Polska,,05.10.2002,23,12,490,0,,3,,0,,,,,,,,,,,
22,Kacper Gach,obrońca,Polska,,11.07.1998,27,27,1986,2,1,6,1,3,,,1,,,,,2,,,
23,Marcel Misztal,pomocnik,Polska,,07.11.2003,22,14,630,0,1,1,,1,,,,,,,,,,,
24,Michał Bednarski,pomocnik,Polska,,31.01.2000,25,27,1445,0,1,4,,1,,,,,,,,,,,
27,Jaka Kolenc,pomocnik,Słowenia,,23.02.1994,31,6,408,0,,,,0,,,,,,,,,,,
27,Maksymilian Biskup,pomocnik,Polska,,16.08.2006,19,,,0,,,,0,,,,,,,,,,,
28,Kornel Osyra,obrońca,Polska,,07.02.1993,32,17,1418,1,,3,,1,,1,,,,,1,,,,
30,Radosław Zając,pomocnik,Polska,,28.07.2004,21,19,857,0,1,2,,1,,,,,,,,,,,
32,Maksymilian Manikowski,bramkarz,Polska,,07.01.2003,22,,,0,,,,0,,,,,,,,,,,
33,Bartosz Bieroński,napastnik,Polska,,10.05.2006,19,6,157,0,,2,1,0,,,1,,,,,,,,
43,Krystian Wieczorek,bramkarz,Polska,,22.07.2002,23,4,390,0,,,,0,,,,,,,,,,2,1
55,Michał Willmann,obrońca,Polska,,22.07.2004,21,35,3116,0,4,7,1,4,,3,,1,,,,,,,
70,Lionel Abate,napastnik,Kamerun,,25.09.2000,25,13,849,3,2,4,,5,,,,,,,1,1,1,,
77,Bartosz Florek,pomocnik,Polska,,06.08.2004,21,30,1704,5,,6,1,5,,1,,,,,1,,4,,
84,Bartosz Martosz,napastnik,Polska,,11.11.2006,19,11,104,0,,,,0,,,,,,,,,,,
88,Nikodem Gancarczyk,obrońca,Polska,,06.03.2006,19,,,0,,,,0,,,,,,,,,,,
90,Lucjan Klisiewicz,napastnik,Polska,,20.04.2002,23,32,2508,8,1,5,1,9,,1,,1,,,6,1,1,,
,Maciej Felsch,obrońca,Polska,,31.05.1998,27,,,0,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,551,35880,42,26,92,8,68,0,12,6,5,5,0,11,9,22,13,1